file_name,mode,audio_link,,,,,,,,,,,,,,,,,,,,
./audio/1 አአትብ ወእትነሳዕ.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/1 አአትብ ወእትነሳዕ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/2 እንዘ ነአኲቶ.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/2 እንዘ ነአኲቶ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/3 ጸልዩ.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/3 ጸልዩ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/4 እግዚኦ ዘኩሎ_1.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/4 እግዚኦ ዘኩሎ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/4 እግዚኦ ዘኩሎ_2.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/,,,,,,,,,,,,,,,,,,,,
./audio/5 ይትባረክ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/4 እግዚኦ ዘኩሎ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/6 ቅዱስ_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/5 ይትባረክ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/6 ቅዱስ_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/6 ቅዱስ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/6 ቅዱስ_3.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/6 ቅዱስ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/7 ግነዩ_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/7 ግነዩ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/7 ግነዩ_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/7 ግነዩ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/7 ግነዩ_3.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/7 ግነዩ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/8 ምህረተከ እሴብሕ_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/8 ምህረተከ እሴብህ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/8 ምህረተከ እሴብሕ_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/8 ምህረተከ እሴብህ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/8 ምህረተከ እሴብሕ_3.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/8 ምህረተከ እሴብህ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/9 እዌድሰኪ_1.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/9 እዌድሰኪ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/9 እዌድሰኪ_2.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/9 እዌድሰኪ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/9 እዌድሰኪ_3.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/9 እዌድሰኪ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/9 እዌድሰኪ_4.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/9 እዌድሰኪ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/9 እዌድሰኪ_5.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/9 እዌድሰኪ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/13 ተዘከር እግዚኦ.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/13 ተዘከር እግዚኦ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/14 ተዘከር እግዚኦ_1.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/14 ተዘከር እግዚኦ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/14 ተዘከር እግዚኦ_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/14 ተዘከር እግዚኦ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/17 ንዒ ኀቤየ_1.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/17 ንዒ ኀቤየ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/17 ንዒ ኀቤየ_2.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/17 ንዒ ኀቤየ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/17 ንዒ ኀቤየ_3.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/17 ንዒ ኀቤየ.mp3,,,,,,,,,,,,,,,,,,,,
